,en,x,u_y,u_z
0,1.0,0.0,3.469446951953614e-18,-4.336808689942018e-19
1,1.0,0.09572285714285714,-1.7723023380366673e-05,-2.496085067963344e-06
2,1.0,0.19144571428571427,-2.8631721528080844e-06,-3.9674640489133376e-07
3,1.0,0.28716857142857144,4.308186208297432e-05,5.86892319784091e-06
4,1.0,0.38289142857142855,0.00011861438772727551,1.58718309488587e-05
5,1.0,0.47861428571428566,0.0002222367131803906,2.9182884056787336e-05
6,1.0,0.5743371428571429,0.0003524511468426148,4.537298973025216e-05
7,1.0,0.67006,0.0005077599971142427,6.401305517787843e-05
8,1.0,0.7657828571428571,0.0006866655723955699,8.467398760829157e-05
9,1.0,0.8615057142857142,0.000887670181086891,0.00010692669423011672
10,1.0,0.9572285714285713,0.0011092761315885013,0.00013034208225197935
11,1.0,1.0529514285714285,0.0013499857323006962,0.0001544910588825047
12,1.0,1.1486742857142858,0.0016083012916237706,0.00017894453133031818
13,1.0,1.2443971428571428,0.0018827251179580182,0.0002032734068040449
14,1.0,1.34012,0.0021717595197037363,0.00022704859251231025
15,1.0,1.435842857142857,0.002473906805261218,0.0002498409956637397
16,1.0,1.5315657142857142,0.0027876692830307603,0.0002712215234669585
17,1.0,1.6272885714285714,0.0031115492614126566,0.00029076108313059177
18,1.0,1.7230114285714284,0.0034440490488072024,0.00030803058186326497
19,1.0,1.8187342857142856,0.003783670953614693,0.0003226009268736034
20,1.0,1.9144571428571426,0.004128917284235422,0.00033404302537023246
21,1.0,2.01018,0.004478290349069688,0.00034192778456177737
22,1.0,2.105902857142857,0.004830292456517783,0.00034582611165686326
23,1.0,2.201625714285714,0.005183425914980002,0.0003453089138641157
24,1.0,2.2973485714285715,0.0055361930328566445,0.00033994709839216036
25,1.0,2.3930714285714285,0.005887096118547998,0.0003293115724496217
26,1.0,2.4887942857142855,0.00623463748045436,0.0003129732432451257
27,1.0,2.5845171428571425,0.006577319426976031,0.0002905030179872974
28,1.0,2.68024,0.006913644266513302,0.0002614718038847616
29,1.0,2.775962857142857,0.007242114307466468,0.0002254505081461452
30,1.0,2.871685714285714,0.0075612318582358225,0.00018201003798007167
31,1.0,2.9674085714285714,0.007869499227221665,0.0001307213005951671
32,1.0,3.0631314285714284,0.008165418722824287,7.115520320005766e-05
33,1.0,3.1588542857142854,0.008447492653443984,2.8826530033669866e-06
34,1.0,3.254577142857143,0.00871422332748105,-7.452544278627903e-05
35,1.0,3.3503,0.008964113053335783,-0.00016149817696025403
36,1.0,3.446022857142857,0.009195664139408477,-0.00025846464230993346
37,1.0,3.5417457142857143,0.009407378894099426,-0.00036585393162669275
38,1.0,3.6374685714285713,0.009597759625808928,-0.0004840951377019055
39,1.0,3.7331914285714283,0.00976530864293727,-0.0006136173533269464
40,1.0,3.8289142857142853,0.009908528253884755,-0.0007548496712931908
41,1.0,3.9246371428571427,0.010025920767051678,-0.0009082211843920132
42,1.0,4.02036,0.010115988490838333,-0.0010741609854147886
43,1.0,4.116082857142857,0.010177233733645012,-0.0012530981671528896
44,1.0,4.211805714285714,0.010208158803872014,-0.0014454618223976952
45,1.0,4.307528571428572,0.010207266009919627,-0.0016516810439405755
46,1.0,4.403251428571428,0.010173057660188157,-0.0018721849245729076
47,1.0,4.498974285714286,0.010104036063077897,-0.0021074025570860643
48,1.0,4.594697142857143,0.009998703526989134,-0.002357763034271424
49,1.0,4.69042,0.009855562360322163,-0.0026236954489203576
50,2.0,0.0,0.009874249092116195,-2.800984134476714e-05
51,2.0,0.061224489795918366,0.009801511299386724,-0.00017163843428982182
52,2.0,0.12244897959183673,0.009719798493410156,-0.00032378970529297365
53,2.0,0.18367346938775508,0.009629341054035071,-0.0004835361423974284
54,2.0,0.24489795918367346,0.009530369361110045,-0.0006499502336463922
55,2.0,0.30612244897959184,0.00942311379448366,-0.0008221044670830707
56,2.0,0.36734693877551017,0.009307804734004494,-0.0009990713307506697
57,2.0,0.42857142857142855,0.009184672559521124,-0.0011799233126923957
58,2.0,0.4897959183673469,0.00905394765088213,-0.001363732900951454
59,2.0,0.5510204081632653,0.008915860387936089,-0.0015495725835710504
60,2.0,0.6122448979591837,0.008770641150531581,-0.0017365148485943916
61,2.0,0.673469387755102,0.008618520318517186,-0.0019236321840646825
62,2.0,0.7346938775510203,0.00845972827174148,-0.0021099970780251295
63,2.0,0.7959183673469388,0.008294495390053043,-0.0022946820185189387
64,2.0,0.8571428571428571,0.008123052053300453,-0.0024767594935893155
65,2.0,0.9183673469387755,0.00794562864133229,-0.0026553019912794666
66,2.0,0.9795918367346939,0.007762455533997133,-0.0028293819996325965
67,2.0,1.0408163265306123,0.007573763111143558,-0.0029980720066919123
68,2.0,1.1020408163265305,0.007379781752620146,-0.003160444500500619
69,2.0,1.163265306122449,0.007180741838275474,-0.0033155719691019235
70,2.0,1.2244897959183674,0.006976873747958121,-0.003462526900539032
71,2.0,1.2857142857142856,0.006768407861516668,-0.0036003817828551476
72,2.0,1.346938775510204,0.00655557455879969,-0.0037282091040934796
73,2.0,1.4081632653061225,0.0063386042196557696,-0.003845081352297232
74,2.0,1.4693877551020407,0.006117727223933483,-0.003950071015509611
75,2.0,1.530612244897959,0.005893173951481407,-0.004042250581773823
76,2.0,1.5918367346938775,0.005665174782148124,-0.004120692539133074
77,2.0,1.653061224489796,0.005433960095782211,-0.004184469375630569
78,2.0,1.7142857142857142,0.005199760272232248,-0.004232653579309513
79,2.0,1.7755102040816326,0.004962805691346811,-0.004264317638213116
80,2.0,1.836734693877551,0.004723326732974481,-0.00427853404038458
81,2.0,1.8979591836734693,0.004481553776963836,-0.00427437527386711
82,2.0,1.9591836734693877,0.004237717203163453,-0.0042509138267039165
83,2.0,2.020408163265306,0.003992047391421914,-0.0042072221869382
84,2.0,2.0816326530612246,0.003744774721587795,-0.004142372842613172
85,2.0,2.142857142857143,0.003496129573509676,-0.004055438281772033
86,2.0,2.204081632653061,0.0032463423270361353,-0.0039454909924579945
87,2.0,2.2653061224489797,0.00299564336201575,-0.003811603462714257
88,2.0,2.326530612244898,0.002744263058297101,-0.0036528481805840306
89,2.0,2.387755102040816,0.0024924317957287683,-0.0034682976341105197
90,2.0,2.4489795918367347,0.002240379954159325,-0.0032570243113369274
91,2.0,2.510204081632653,0.001988337913437355,-0.0030181007003064622
92,2.0,2.571428571428571,0.0017365360534114353,-0.0027505992890623325
93,2.0,2.63265306122449,0.001485204753930141,-0.002453592565647739
94,2.0,2.693877551020408,0.0012345743948420588,-0.0021261530181058905
95,2.0,2.7551020408163263,0.000984875355995762,-0.0017673531344799924
96,2.0,2.816326530612245,0.0007363380172398289,-0.0013762654028132495
97,2.0,2.877551020408163,0.0004891927584228413,-0.0009519623111488703
98,2.0,2.9387755102040813,0.00024366995939337222,-0.000493516347530064
99,2.0,3.0,5.204170427930421e-18,-2.3418766925686896e-17
